17:05:32.077 INFO  [] Mapped "{[/api/files/recent_files],methods=[POST]}" onto public java.util.List<com.dataparse.server.service.files.AbstractFile> com.dataparse.server.controllers.FileController.getRecent(com.dataparse.server.controllers.api.file.RecentFilesRequest) 
17:05:32.078 INFO  [] Mapped "{[/api/files/upload],methods=[POST]}" onto public com.dataparse.server.controllers.api.file.SaveFileResponse com.dataparse.server.controllers.FileController.uploadFile(javax.servlet.http.HttpServletRequest,java.lang.String) throws java.lang.Exception 
17:05:32.079 INFO  [] Mapped "{[/api/files/create_remote_link],methods=[POST]}" onto public com.dataparse.server.service.upload.Upload com.dataparse.server.controllers.FileController.createRemoteLink(com.dataparse.server.controllers.api.file.CreateRemoteLinkRequest,org.springframework.validation.Errors) 
17:05:32.079 INFO  [] Mapped "{[/api/files/update_remote_link],methods=[POST]}" onto public com.dataparse.server.service.upload.Upload com.dataparse.server.controllers.FileController.updateRemoteLink(com.dataparse.server.controllers.api.file.UpdateRemoteLinkRequest,org.springframework.validation.Errors) 
17:05:32.080 INFO  [] Mapped "{[/api/files/move],methods=[POST]}" onto public java.util.List<com.dataparse.server.service.files.AbstractFile> com.dataparse.server.controllers.FileController.moveFiles(com.dataparse.server.controllers.api.file.MoveRequest) 
17:05:32.080 INFO  [] Mapped "{[/api/files/test_connection],methods=[POST]}" onto public com.dataparse.server.service.upload.Upload com.dataparse.server.controllers.FileController.testConnection(com.dataparse.server.controllers.api.file.TestConnectionRequest,org.springframework.validation.Errors) 
17:05:32.080 INFO  [] Mapped "{[/api/files/archive/download],methods=[GET]}" onto public void com.dataparse.server.controllers.FileController.downloadArchive(javax.servlet.http.HttpServletResponse,java.lang.String) 
17:05:32.081 INFO  [] Mapped "{[/api/files/update_settings],methods=[POST]}" onto public com.dataparse.server.service.upload.Upload com.dataparse.server.controllers.FileController.updateSettings(com.dataparse.server.controllers.api.file.UpdateSettingsRequest,org.springframework.validation.Errors) 
17:05:32.081 INFO  [] Mapped "{[/api/files/download],methods=[GET]}" onto public void com.dataparse.server.controllers.FileController.downloadFile(javax.servlet.http.HttpServletResponse,java.lang.Long,java.lang.String) 
17:05:32.081 INFO  [] Mapped "{[/api/files/preview],methods=[POST]}" onto public com.dataparse.server.controllers.api.file.PreviewResponse com.dataparse.server.controllers.FileController.previewData(com.dataparse.server.controllers.api.file.PreviewRequest,org.springframework.validation.Errors) 
17:05:32.081 INFO  [] Mapped "{[/api/files/annotate],methods=[POST]}" onto public com.dataparse.server.service.files.AbstractFile com.dataparse.server.controllers.FileController.annotate(com.dataparse.server.controllers.api.file.AnnotationRequest) 
17:05:32.082 INFO  [] Mapped "{[/api/files/close_sticky_note],methods=[POST]}" onto public void com.dataparse.server.controllers.FileController.closeStickyNote(com.dataparse.server.controllers.api.file.CloseStickyNoteRequest) 
17:05:32.082 INFO  [] Mapped "{[/api/files/create_folder],methods=[POST]}" onto public com.dataparse.server.service.files.Folder com.dataparse.server.controllers.FileController.createFolder(com.dataparse.server.controllers.api.file.CreateFolderRequest) 
17:05:32.083 INFO  [] Mapped "{[/api/files/get_remote_schema],methods=[POST]}" onto public java.util.List<com.dataparse.server.service.db.TableInfo> com.dataparse.server.controllers.FileController.getRemoteSchema(com.dataparse.server.service.db.ConnectionParams,org.springframework.validation.Errors) 
17:05:32.084 INFO  [] Mapped "{[/api/files/delete_file_by_path],methods=[POST]}" onto public void com.dataparse.server.controllers.FileController.deleteFile(java.lang.String) 
17:05:32.085 INFO  [] Mapped "{[/api/files/delete],methods=[POST]}" onto public void com.dataparse.server.controllers.FileController.deleteFile(com.dataparse.server.controllers.api.file.DeleteRequest) 
17:05:32.095 INFO  [] Mapped "{[/api/flow/execute],methods=[POST],produces=[text/plain]}" onto public java.lang.String com.dataparse.server.controllers.FlowController.execute(com.dataparse.server.controllers.api.flow.ExecutionRequest) 
17:05:32.095 INFO  [] Mapped "{[/api/flow/get_state],methods=[POST]}" onto public com.dataparse.server.service.tasks.TaskInfo com.dataparse.server.controllers.FlowController.getState(com.dataparse.server.controllers.api.flow.GetStateRequest) 
17:05:32.098 INFO  [] Mapped "{[/api/flow/validate],methods=[POST]}" onto public java.util.List<com.dataparse.server.service.flow.FlowValidationError> com.dataparse.server.controllers.FlowController.validate(com.dataparse.server.controllers.api.flow.ValidationRequest) 
17:05:32.099 INFO  [] Mapped "{[/api/flow/cancel],methods=[POST],produces=[text/plain]}" onto public java.lang.String com.dataparse.server.controllers.FlowController.cancel(com.dataparse.server.controllers.api.flow.CancelRequest) 
17:05:32.099 INFO  [] Mapped "{[/api/flow/preview],methods=[POST]}" onto public com.dataparse.server.controllers.api.flow.PreviewResponse com.dataparse.server.controllers.FlowController.preview(com.dataparse.server.controllers.api.flow.PreviewRequest) throws java.lang.Exception 
17:05:32.099 INFO  [] Mapped "{[/api/flow/get_active_tasks],methods=[POST]}" onto public java.util.List<com.dataparse.server.controllers.api.flow.FlowExecutionTasksResponse> com.dataparse.server.controllers.FlowController.getActiveTasks() 
17:05:32.099 INFO  [] Mapped "{[/api/flow/columns],methods=[POST]}" onto public java.util.List<java.lang.String> com.dataparse.server.controllers.FlowController.getResultColumns(com.dataparse.server.controllers.api.flow.PreviewRequest) 
17:05:32.101 INFO  [] Mapped "{[/]}" onto public java.lang.String com.dataparse.server.controllers.HomeController.index() 
17:05:32.101 INFO  [] Mapped "{[/404]}" onto public java.lang.String com.dataparse.server.controllers.HomeController.notFound() 
17:05:32.101 INFO  [] Mapped "{[/embed],methods=[GET],produces=[text/plain]}" onto public java.lang.String com.dataparse.server.controllers.HomeController.embed(javax.servlet.http.HttpSession) 
17:05:32.101 INFO  [] Mapped "{[/testresult],methods=[GET],produces=[text/plain]}" onto public java.lang.String com.dataparse.server.controllers.HomeController.testresult(javax.servlet.http.HttpSession) 
17:05:32.104 INFO  [] Mapped "{[/api/search],methods=[POST]}" onto public com.dataparse.server.controllers.api.search.SearchResponse com.dataparse.server.controllers.SearchController.search(com.dataparse.server.controllers.api.search.SearchRequest) 
17:05:32.105 INFO  [] Mapped "{[/api/search/refresh]}" onto public void com.dataparse.server.controllers.SearchController.refresh() 
17:05:32.108 INFO  [] Mapped "{[/api/search/suggest-sources],methods=[POST]}" onto public java.util.List<com.dataparse.server.service.files.AbstractFile> com.dataparse.server.controllers.SearchController.suggestFiles(com.dataparse.server.controllers.api.search.SearchRequest) 
